"Element CSS selector","Total # of clicks","Visible","% of total"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.weekly-ranking-wrapper>div.weekly-ranking-content-wrapper>div.weekly-ranking-content (24)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.weekly-ranking-wrapper>div.weekly-ranking-content-wrapper>div.weekly-ranking-content>div.weekly-ranking-content-detail.name (21)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.weekly-ranking-wrapper>div.weekly-ranking-content-wrapper>div.weekly-ranking-content (21)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.title (3)","1","Yes","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper.topbar-cart-icon-wrapper-b>img.topbar-cart-icon","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper.topbar-cart-icon-wrapper-b","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.left-section>div.menu.pointer","1","Yes","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.title","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>img.left.pointer.height-fixed","1","Yes","0.08%"
"div#ch-plugin-core>div.Launcherstyled__Wrapper-oef45p-0.dHpZot>div.Launcherstyled__TextLauncher-oef45p-1.lbMRR>div.Launcherstyled__TextLauncherIcon-oef45p-3.kZBuqH.textLauncherIcon","1","No","0.08%"
"div#root>div.app>div.footer","1","Yes","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu>font>font (1)","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper>font>font","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.coach-package","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.mobile-topbar>div.uik-top-bar-link-container__wrapper.mobile-topbar-icon>div.uik-nav-icon__wrapper.uik-top-bar-link__wrapper","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.mobile-topbar>div.mobile-topbar-wrapper>a>div.mobile-topbar-active>div.mobile-topbar-section (1)","1","No","0.08%"
"div#root>div.app>div.popover-container.logout>span.popover-content","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.m-hide (4)","1","Yes","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.m-hide (2)","1","Yes","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (3)","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>div.topbar-cart-length","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min (1)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.transparent-top-bar>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (1)","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.transparent-top-bar>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (7)","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.mobile-topbar>div.uik-top-bar-link-container__wrapper.mobile-topbar-icon>div.uik-nav-icon__wrapper.uik-top-bar-link__wrapper","1","No","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.mobile-topbar>div.mobile-topbar-wrapper>a>div.mobile-topbar-active>div.mobile-topbar-section (1)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.title (1)","1","Yes","0.08%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper (1)","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.m-hide (8)","1","Yes","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.coach-package>img.max-full.center.m-hide","1","No","0.08%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.m-hide (1)","1","Yes","0.08%"
